CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-5-2,14,8,2,5,1,-2,93,62,26,1013,1011,1008,31,15,10,23,6,,0.00,4,Fog,273
2015-5-3,20,11,3,12,3,0,88,51,21,1014,1010,1005,31,16,10,26,10,45,4.06,7,Rain,109
2015-5-4,22,18,13,13,11,8,100,67,33,1010,1008,1004,31,13,8,26,14,,0.00,5,Rain,238
2015-5-5,24,19,14,16,13,9,77,64,44,1009,1005,1002,31,18,10,55,13,85,0.00,7,Rain,149
2015-5-6,21,15,9,9,6,3,87,50,21,1013,1012,1010,31,18,10,26,13,37,0.00,5,,223
2015-5-7,18,13,9,9,6,3,87,60,33,1020,1016,1014,31,11,10,37,16,53,0.00,4,Rain,249
2015-5-8,18,12,6,8,6,3,96,59,26,1020,1018,1016,27,13,10,21,5,,0.00,6,Fog-Rain,110
2015-5-9,22,17,12,13,9,7,82,63,29,1017,1015,1014,31,17,10,32,10,53,0.25,6,Rain,229
2015-5-10,14,11,7,9,6,3,82,65,42,1028,1023,1017,31,12,10,34,19,48,0.00,5,Rain,276
2015-5-11,21,12,3,6,3,-1,95,52,15,1029,1026,1021,31,18,10,23,8,,0.00,8,Fog,152
2015-5-12,28,20,11,17,8,3,89,50,16,1021,1015,1008,31,17,9,34,14,47,2.03,6,Rain-Thunderstorm,194
2015-5-13,18,12,6,7,5,2,87,56,28,1019,1016,1011,31,17,10,29,16,48,0.00,3,,272
2015-5-14,13,9,6,6,4,3,87,66,49,1013,1012,1011,31,11,10,21,10,,0.00,5,Rain,289
2015-5-15,16,9,2,7,4,2,100,67,28,1019,1015,1012,31,14,10,19,6,,0.00,3,Fog,307
2015-5-16,16,9,3,10,6,3,100,74,41,1020,1019,1019,31,15,6,26,8,,0.51,7,Fog-Rain,267
2015-5-17,16,11,7,9,4,0,89,62,31,1023,1021,1019,31,15,10,29,18,47,0.00,3,Rain,277
2015-5-18,21,13,6,6,4,2,87,52,24,1020,1012,1003,31,28,26,19,6,32,0.00,,,169
2015-5-19,19,16,11,9,5,0,77,49,22,1009,1005,1001,31,17,10,26,11,37,0.00,4,,263
2015-5-20,17,12,8,6,4,2,76,52,29,1017,1012,1010,31,31,31,16,6,,0.00,8,,298
2015-5-21,17,11,5,6,3,1,93,57,23,1026,1022,1017,31,25,10,24,8,,0.00,2,,282
2015-5-22,19,12,4,7,4,1,94,54,22,1027,1025,1022,31,21,10,14,5,35,0.00,1,Fog,254
2015-5-23,21,16,11,12,8,6,77,61,38,1022,1019,1018,31,17,10,19,6,,0.00,6,Rain,329
2015-5-24,21,12,4,8,4,-5,93,54,10,1022,1019,1016,31,15,10,11,5,,0.00,2,Fog,324
2015-5-25,23,16,9,11,7,1,82,55,17,1016,1012,1010,31,20,10,21,6,,0.00,3,Rain,306
2015-5-26,16,12,9,8,6,2,82,59,37,1019,1015,1012,31,13,10,23,11,37,0.00,5,Rain,306
2015-5-27,14,10,6,7,4,3,87,63,37,1021,1020,1018,31,11,10,21,13,,0.00,5,Rain,288
2015-5-28,21,13,6,10,5,1,88,60,22,1020,1014,1010,31,16,10,32,11,53,0.25,6,Rain,209
2015-5-29,20,15,10,9,6,2,94,57,24,1014,1011,1006,31,12,10,19,8,,0.00,6,Rain,230
2015-5-30,17,12,8,8,6,-1,93,60,19,1016,1010,1006,14,10,7,35,19,63,1.02,4,Rain,256
2015-5-31,22,14,6,6,3,0,87,48,15,1017,1014,1011,10,10,10,29,14,,0.00,4,Rain,206
2015-6-1,18,14,10,12,9,6,94,71,32,1018,1014,1010,26,13,6,26,13,35,3.05,6,Fog-Rain,222
